Molecule_ChEMBL_ID	Smiles	Standard_Type	Standard_Value	Standard_Units	Document_Year
CHEMBL5189787	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(CCS(C)(=O)=O)C2=O	Papp	49.3	10^-6 cm/s	2022
CHEMBL5206831	Cc1nnn(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)C1CC(=O)N(C)C1)C2	Papp	7.54	10^-6 cm/s	2022
CHEMBL5172456	NCc1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21	Papp	6	10^-6 cm/s	2022
CHEMBL5186129	CNCc1ccc(Cl)cc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21	Papp	9.6	10^-6 cm/s	2022
CHEMBL4598256	Cc1c(C)c2ccc(OCC3CCN(Cc4ccccc4)CC3)cc2oc1=O	Papp	12	10^-6 cm/s	2022
CHEMBL5202924	O=C(Nc1ccc(N2CCNCC2)nc1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1	Papp	0.3	10^-6 cm/s	2022
CHEMBL5175007	O=C(Nc1cnc(N2CCNCC2)nc1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1	Papp	0.6	10^-6 cm/s	2022
CHEMBL5267968	CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cc1F)c1csc(NS(=O)(=O)C2CC2)n1	Papp	9.9	10^-6 cm/s	2022
CHEMBL5192467	Cc1nnn(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)C1CCOC1)C2	Papp	44.6	10^-6 cm/s	2022
CHEMBL5185831	Nc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(O)c(O)c(O)c3)C(C(=O)NCc3ccco3)C2)cc1	Papp	0.2	10^-6 cm/s	2022
CHEMBL5187807	COc1ccc(-c2cn3ccc(N4CCN(C5CCCC5)CC4)cc3n2)c(OCCCN2CCOCC2)c1	Papp	15.43	10^-6 cm/s	2022
CHEMBL5188392	Cl.Cl.Cn1nc2c(=O)n(CC3(O)CCN(Cc4ccc(-c5cnco5)cc4Cl)CC3)cnc2c1-c1ccc(CN)cc1	Papp	0.86	10^-6 cm/s	2022
CHEMBL5180062	Cl.Cl.Cn1nc2c(=O)n(CC3(O)CCN(Cc4ccc(-c5ccco5)cc4Cl)CC3)cnc2c1-c1ccc(CN)cc1	Papp	0.92	10^-6 cm/s	2022
CHEMBL5184000	COC(=O)N1C[C@@H](C)N(c2ncc3[nH]nc(-c4ccc(N5CCN[C@H](C)C5)nc4)c3n2)[C@@H](C)C1	Papp	0.6	10^-6 cm/s	2022
CHEMBL258921	O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21	Papp	0.35	10^-6 cm/s	2022
