smiles,logPapp
Cc1nnn(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)NC1CC(=O)N(C)C1)C2,-6.481486060122113
COc1cc2c(cc1OC)C(C)N(c1ccc(CO)cc1)CC2,-4.46344155742847
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC=C(c6cccc(N)c6)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,-7.275724130399211
Cc1cc(Cc2cccc3ccccc23)n(O)c(=O)c1,-5.189767482004916
Nc1cc(-c2ccco2)c2oc(-c3ccco3)nc2c1,-4.113509274827518
O=C(C1=C(O)C(=O)N(c2ccccc2O)C1c1ccc([N+](=O)[O-])cc1)c1ccccc1,-6.6020599913279625
CN1CCN(Cc2ncc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1,-6.045757490560675
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccc(Cl)cc4)nn3)c3c(N)ncnc32)C1,-5.434152181326482
CC(=O)N1Cc2ccc(OCc3c(C)nnn3-c3ccc(F)cc3)nc2C1,-4.2636034977233574
C=CC(=O)N1CCC[C@@H](n2nc(-c3cn(CC(F)(F)c4ccccc4)nn3)c3c(N)ncnc32)C1,-4.927750102386486
COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1cccc(OC)c1F,-4.6020599913279625
Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nc(C3CC3)cnc21,-4.928117992693875
Cc1cc2c(C(N)=O)c(N)n(-c3c(C)ccc(O)c3C)c2nc1C,-4.818156412055227
CN1CCC(Oc2ccc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1,-5.6020599913279625
O=C(Nc1cnn(CC2CCNCC2)c1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1,-6.698970004336019
O=c1[nH]c(=S)n(Cc2ccccc2CN2CCC2)c2cc[nH]c12,-4.721246399047171
Cc1cc2ncccc2cc1Nc1ncc2c(n1)n(C1CCN(C)CC1)c(=O)n2C,-4.853871964321762
COc1cc2c(cc1OC)CN(c1cccc(O)c1)CC2,-4.359518563029578
Cc1cc(Cc2ccc(OCc3ccccc3)cc2)n(O)c(=O)c1,-6.025949097207123
CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5nnc[nH]5)ccc4n3)cn2)CC1,-4.795880017344075
CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cnn[nH]5)ccc4n3)cn2)CC1,-5.481486060122113
CC(=O)N1CC[C@H]2[C@@H]1CCN2[C@H]1CCC[C@@H](NC(=O)c2cc3c(F)ccc(C)c3[nH]2)C1,-4.657577319177793
Cc1nnn(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(CCS(C)(=O)=O)C2=O,-4.657577319177793
CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)c2)cc1F)c1csc(NS(=O)(=O)C2CC2)n1,-5.142667503568732
Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nc3c(Br)cccc3nc21,-5.1249387366083
COCc1nn(Cc2ccc(Cn3ccccc3=O)cc2)cc1C(=O)NCc1c(Cl)ccc(OC)c1F,-5.031517051446065
O=C1NCCCCCn2cc(cn2)-c2cnc3ccc(cc3c2)CCn2nc(ccc2=O)-c2ccc1c(C(F)(F)F)c2,-6.537602002101044
O=C(Nc1ccc(N2CCNCC2)nc1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1,-6.522878745280337
O=C(Nc1cnc(N2CCNCC2)nc1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1,-6.221848749616356
CC(C)(C(=O)Nc1ccc(-c2cncc(C(F)(F)F)n2)cc1F)c1csc(NS(=O)(=O)C2CC2)n1,-5.00436480540245
Cc1nnn(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)C1CCOC1)C2,-4.350665141287858
Nc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(O)c(O)c(O)c3)C(C(=O)NCc3ccco3)C2)cc1,-6.698970004336019
COC(=O)N1C[C@@H](C)N(c2ncc3[nH]nc(-c4ccc(N5CCN[C@H](C)C5)nc4)c3n2)[C@@H](C)C1,-6.221848749616356
O=S1(=O)OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,-6.455931955649724
C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@H]5CC[C@@](C)(O)CC5)c4n3)cc(OC(F)(F)F)c2C1=O,-5.327902142064283
CCOc1ccnc(CNC(=O)c2cn(Cc3ccc(Cn4ccccc4=O)cc3)nc2COC)c1F,-4.958607314841775
COc1ccnc(CNC(=O)c2cn(Cc3ccc(Cn4ccccc4=O)cc3)nc2C(F)(F)F)c1F,-4.769551078621726
COc1cc2cc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)c(C)nc2cc1OCCN1CCOCC1,-6.3979400086720375
CN(C)C1CN(Cc2ccc(NC(=O)c3ccc(OCCCl)c([N+](=O)[O-])c3)cc2C(F)(F)F)C1,-5.903089986991944
FC(F)(F)c1ccccc1-c1nc(NCc2ccccn2)c2ccccc2n1,-4.070581074285707
Cc1cnc(-c2ccccc2C(F)(F)F)nc1NCc1ccccn1,-3.9746941347352296
Fc1ccc([C@]2(CCNCc3cccc(Cl)c3)CCO[C@]3(CCOC3)C2)nc1,-5.2839966563652006
COC[C@H]1O[C@@H](S[C@@H]2O[C@H](COC)[C@H](OC)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2OC)[C@H](OC)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1OC,-4.142667503568732
CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,-4.823908740944319
Nc1cccc2cc(CNC(=O)c3cnn(Cc4ccc(Cn5ccccc5=O)cc4)c3)ccc12,-5.698970004336019
CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O,-6.7447274948966935
CNC(=O)c1cncc(-c2cnn3cc(-c4cnn(C(C)C)c4)c(O[C@H]4CCOC4)nc23)c1,-5.823908740944319
N/C(=N\S(=O)(=O)c1ccccc1)NCc1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,-5.522878745280337
COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccn(C)c(=O)c34)CC2)CC1,-4.769551078621726
CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,-4.769551078621726
Cc1cc(Cc2cccc(-c3ccccc3)c2)n(O)c(=O)c1,-5.962573502059376
Cc1cc(Cc2ccc(-c3ccccc3)cc2)n(O)c(=O)c1,-5.8696662315049934
O=c1cc(-c2ccccc2)cc(C2CCCCC2)n1O,-5.363512103646634
CNCc1ccc(Cl)cc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,-5.017728766960432
NCc1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,-5.221848749616356
Cc1nnn(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)C1CC(=O)N(C)C1)C2,-5.122628654130226
CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(-c5cn(C)nn5)ccc4n3)cn2)CC1,-4.6777807052660805
O=C(Nc1cnc(CN2CCNCC2)nc1)c1cc(C(=O)c2c(Cl)ccc(Cl)c2F)c[nH]1,-6.522878745280337
CN1CCC(Cc2ccc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1,-6.154901959985743
C=CC(=O)Nc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cncc(NC[C@@H](O)c5ccccc5)c4)cc23)cc1,-5.221848749616356
C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4cc(OC)c(C)c(OC)c4)nn32)CC1,-5.267606240177032
CN1CCN(Cc2ccc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1,-6.0
CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCCc4ccc(OC)c(O)c4)nc(OCC(C)C)nc31)[C@H](O)[C@@H]2O,-6.292429823902063
CN(CC[C@@H](CC(=O)NC1CCC1)NC(=O)c1cc(-c2ccccc2C(F)(F)F)n(C2CCCC2)n1)C1CCCCC1,-4.167491087293763
O=C(C1=C(O)C(=O)N(c2ccc(O)c(C(=O)O)c2)C1c1ccc([N+](=O)[O-])cc1)c1ccccc1,-7.327902142064283
CC(C)CCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CN)C(=O)N[C@@H](CC1CCCC1)C(=O)N1CCC[C@H]1c1nc(-c2ccccc2)cn1CC1CCCCC1)C(C)C,-6.136677139879544
CNC[C@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CCC(C)C)C(C)C)C(=O)N[C@@H](CC1CCCC1)C(=O)N[C@@H](C)c1nc2cccc(-c3ccccc3)c2[nH]1,-5.7055337738384075
Cc1c(C#N)cccc1[C@@H](C)Nc1nnc(C)c2cnc(N3CCOCC3)cc12,-4.490797477668897
Cn1cc(Nc2nc(NC3(C)CC3)c3c(=O)n(C)ccc3n2)cn1,-4.173925197299174
Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(CCS(C)(=O)=O)C2=O,-4.30715308072277
COc1ccsc1CNCC[C@@]1(c2ccccn2)CCOC2(CCCC2)C1,-5.356547323513812
NC(c1ccccc1)c1ccccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,-4.7447274948966935
CCNC(=O)c1cncc(-c2cnn3cc(-c4cnn(CC)c4)c(O[C@H]4CCOC4)nc23)c1,-6.221848749616356
CC(C)CCC(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CN)C(=O)N[C@@H](CC1CCCC1)C(=O)N[C@@H](C)c1nc2cccc(-c3ccccc3)c2[nH]1)C(C)C,-5.739928612014925
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)COC(=O)c3c(C(F)(F)F)cc(C)nc3C)cc12,-4.614393726401688
Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nccnc21,-4.721246399047171
COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccc(C)nc34)CC2)CC1,-5.102372908709558
CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2c(ccn2C)n1,-3.9136401693252516
COc1cc2c(cc1OC)CN(c1ccc(C=O)cc1)CC2,-5.552841968657781
COC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](OC)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2OC)[C@H](OC)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1OC,-4.251811972993799
O=C(O)CCCc1ccccc1,-6.130768280269024
CN1CCC(Cn2cc(NC(=O)c3cc(C(=O)c4c(Cl)ccc(Cl)c4F)c[nH]3)cn2)CC1,-6.221848749616356
COc1cccc2[nH]c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C(=O)c3nc4ccccc4s3)cc12,-4.723538195826756
O=C(C[C@H](CCN1CCCCC1)NC(=O)c1cc(-c2ccccc2C(F)(F)F)n(C2CCCC2)n1)NC1CCC1,-4.2839966563652006
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-c3ccsc3)cc2OC)[C@H]1NC(C)=O,-7.581698708680254
COc1ccc(F)c(CNC(=O)c2cnn(Cc3ccc(Cn4ccccc4=O)cc3)c2)c1F,-5.494850021680094
Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nc(C(C)(C)O)cnc21,-5.769551078621726
Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nc(N3CCOCC3)cnc21,-5.236572006437063
Cc1ccc(O)c(C)c1-n1c(N)c(C(N)=O)c2nc(-c3nccs3)cnc21,-4.995678626217358
CNC(=O)c1cc(F)c(F)c(-c2cnc3cc(-c4cnn(C)c4)c(O[C@H]4CCOC4)nn23)c1,-5.2441251443275085
CN(C)CC(=O)N1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1,-5.366531544420414
CNCc1c(Cl)cccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,-4.721246399047171
C[C@@H](N)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,-4.958607314841775
Cc1cc(CC2CCCCC2)n(O)c(=O)c1,-4.503070351926785
c1ccc([C@]2(CCNCc3scc4c3CCC4)CCO[C@]3(CCOC3)C2)nc1,-5.619788758288394
CC(c1ccccc1)N1CCN(Cc2ccc(C(=O)NO)cc2)CC1,-4.962573502059376
CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NCc2ccc(-c3cccs3)cc2OC)[C@H]1NC(C)=O,-7.718966632752273
COc1cc2c(cc1OC)CN(c1ccc(C(=O)O)cc1)CC2,-4.090443970758825
COc1cccc(CNC(=O)c2cn(Cc3ccc(Cn4ccccc4=O)cc3)nc2N(C)C)c1F,-4.638272163982407
CN[C@H](C)c1cc(Cl)ccc1Cn1c(=S)[nH]c(=O)c2[nH]ccc21,-4.721246399047171
CC(C)NCc1ccccc1Cn1c(=S)[nH]c(=O)c2[nH]cnc21,-6.050609993355088
Cc1ccc([C@@H](NC(=O)[C@H](O)c2ccccc2)[C@@H](C)C(=O)O)cc1,-6.568636235841013
Cc1cc(C2CCCCCC2)n(O)c(=O)c1,-5.241088107602026
CN(C(=O)Cc1csc(NS(=O)(=O)C2CC2)n1)c1cccc(Cl)c1,-5.0915149811213505
Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2,-4.366531544420414
